"Plot Title: 21742590"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21742590, SEN S/N: 21742590)","High Range, μS/cm (LGR S/N: 21742590, SEN S/N: 21742590)","Temp, °C (LGR S/N: 21742590, SEN S/N: 21742590)","Specific Conductance, μS/cm (LGR S/N: 21742590)","Salinity, ppt (LGR S/N: 21742590)"
1,05/23/23 01:00:00 AM,29130.3,32836.8,9.63,46220.0,29.9799
2,05/23/23 01:15:00 AM,29708.9,32862.3,9.65,46232.6,29.9890
3,05/23/23 01:30:00 AM,29616.8,32862.3,9.63,46255.6,30.0057
4,05/23/23 01:45:00 AM,29616.8,32857.2,9.63,46248.5,30.0005
5,05/23/23 02:00:00 AM,29690.0,32867.4,9.63,46262.7,30.0109
6,05/23/23 02:15:00 AM,29690.0,32857.2,9.63,46248.5,30.0005
7,05/23/23 02:30:00 AM,29524.9,32836.8,9.63,46220.0,29.9799
8,05/23/23 02:45:00 AM,29524.9,32875.0,9.62,46284.9,30.0269
9,05/23/23 03:00:00 AM,29690.0,32844.5,9.63,46230.8,29.9877
10,05/23/23 03:15:00 AM,29690.0,32844.5,9.62,46242.3,29.9960
11,05/23/23 03:30:00 AM,29597.9,32819.0,9.63,46195.2,29.9619
12,05/23/23 03:45:00 AM,29690.0,32844.5,9.60,46265.3,30.0127
13,05/23/23 04:00:00 AM,29690.0,32844.5,9.57,46299.9,30.0378
14,05/23/23 04:15:00 AM,29597.9,32862.3,9.56,46336.3,30.0642
15,05/23/23 04:30:00 AM,29616.8,32862.3,9.57,46324.7,30.0558
16,05/23/23 04:45:00 AM,29671.1,32857.2,9.57,46317.6,30.0506
17,05/23/23 05:00:00 AM,29671.1,32852.1,9.57,46310.5,30.0455
18,05/23/23 05:15:00 AM,29597.9,32852.1,9.57,46310.5,30.0455
19,05/23/23 05:30:00 AM,29579.0,32826.7,9.58,46263.5,30.0114
20,05/23/23 05:45:00 AM,29690.0,32847.0,9.57,46303.4,30.0403
21,05/23/23 06:00:00 AM,29671.1,32857.2,9.57,46317.6,30.0506
22,05/23/23 06:15:00 AM,29671.1,32826.7,9.58,46263.5,30.0114
23,05/23/23 06:30:00 AM,29671.1,32847.0,9.58,46291.8,30.0319
24,05/23/23 06:45:00 AM,29671.1,32834.3,9.58,46274.1,30.0191
25,05/23/23 07:00:00 AM,29579.0,32834.3,9.58,46274.1,30.0191
26,05/23/23 07:15:00 AM,29671.1,32834.3,9.60,46251.1,30.0024
27,05/23/23 07:30:00 AM,29652.2,32852.1,9.61,46264.4,30.0121
28,05/23/23 07:45:00 AM,29652.2,32867.4,9.62,46274.2,30.0192
29,05/23/23 08:00:00 AM,29725.5,32867.4,9.62,46274.2,30.0192
30,05/23/23 08:15:00 AM,29560.2,32836.8,9.63,46220.0,29.9799
31,05/23/23 08:30:00 AM,29560.2,32862.3,9.65,46232.6,29.9890
32,05/23/23 08:45:00 AM,29725.5,32862.3,9.67,46209.6,29.9724
33,05/23/23 09:00:00 AM,29706.6,32882.7,9.71,46192.1,29.9597
34,05/23/23 09:15:00 AM,29633.3,32887.8,9.72,46187.8,29.9565
35,05/23/23 09:30:00 AM,29687.6,32908.2,9.76,46170.3,29.9439
36,05/23/23 09:45:00 AM,29761.1,32959.3,9.83,46161.1,29.9372
37,05/23/23 10:00:00 AM,29761.1,32954.2,9.84,46142.6,29.9238
38,05/23/23 10:15:00 AM,29834.7,32995.2,9.89,46142.3,29.9236
39,05/23/23 10:30:00 AM,29742.1,32982.4,9.89,46124.6,29.9108
40,05/23/23 10:45:00 AM,29796.7,32995.2,9.92,46108.1,29.8988
41,05/23/23 11:00:00 AM,29777.7,33069.8,10.01,46108.7,29.8992
42,05/23/23 11:15:00 AM,29777.7,33036.3,9.97,46107.9,29.8987
43,05/23/23 11:30:00 AM,29758.7,33026.0,9.99,46070.9,29.8718
44,05/23/23 11:45:00 AM,29830.0,33067.2,10.08,46025.4,29.8389
45,05/23/23 12:00:00 PM,29903.8,33121.4,10.14,46032.0,29.8437
46,05/23/23 12:15:00 PM,29977.9,33173.2,10.22,46012.5,29.8296
47,05/23/23 12:30:00 PM,30013.7,33188.7,10.28,45965.9,29.7958
48,05/23/23 12:45:00 PM,29994.6,33209.5,10.29,45983.1,29.8083
49,05/23/23 01:00:00 PM,29975.5,33295.5,10.41,45965.4,29.7955
50,05/23/23 01:15:00 PM,30049.7,33300.7,10.48,45893.6,29.7435
51,05/23/23 01:30:00 PM,30104.9,33347.8,10.56,45867.9,29.7249
52,05/23/23 01:45:00 PM,30085.7,33413.4,10.64,45867.4,29.7245
53,05/23/23 02:00:00 PM,30215.6,33437.1,10.70,45832.4,29.6992
54,05/23/23 02:15:00 PM,30119.3,33437.1,10.71,45821.2,29.6911
55,05/23/23 02:30:00 PM,30174.7,33460.8,10.76,45797.4,29.6739
56,05/23/23 02:45:00 PM,30155.4,33489.9,10.82,45769.8,29.6539
57,05/23/23 03:00:00 PM,30305.0,33545.4,10.88,45778.0,29.6598
58,05/23/23 03:15:00 PM,30285.7,33633.1,11.02,45740.5,29.6327
59,05/23/23 03:30:00 PM,30322.0,33654.4,11.06,45724.8,29.6213
60,05/23/23 03:45:00 PM,30341.4,33601.2,10.97,45753.1,29.6418
61,05/23/23 04:00:00 PM,30247.0,33556.0,10.93,45736.6,29.6298
62,05/23/23 04:15:00 PM,30247.0,33577.3,10.91,45787.7,29.6668
