"Plot Title: 21742592"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21742592, SEN S/N: 21742592)","High Range, μS/cm (LGR S/N: 21742592, SEN S/N: 21742592)","Temp, °C (LGR S/N: 21742592, SEN S/N: 21742592)","Specific Conductance, μS/cm (LGR S/N: 21742592)","Salinity, ppt (LGR S/N: 21742592)"
1,05/23/23 01:00:00 AM,29526.5,33295.9,9.31,47235.9,30.7175
2,05/23/23 01:15:00 AM,29817.0,33339.3,9.32,47285.2,30.7533
3,05/23/23 01:30:00 AM,29905.3,33362.2,9.32,47317.4,30.7767
4,05/23/23 01:45:00 AM,29905.3,33367.4,9.32,47324.7,30.7820
5,05/23/23 02:00:00 AM,29789.3,33316.3,9.32,47252.8,30.7297
6,05/23/23 02:15:00 AM,29877.5,33283.2,9.32,47206.3,30.6959
7,05/23/23 02:30:00 AM,29877.5,33344.4,9.32,47292.3,30.7585
8,05/23/23 02:45:00 AM,29877.5,33352.0,9.32,47303.0,30.7662
9,05/23/23 03:00:00 AM,29877.5,33357.1,9.32,47310.2,30.7715
10,05/23/23 03:15:00 AM,29789.3,33306.1,9.32,47238.5,30.7193
11,05/23/23 03:30:00 AM,29877.5,33357.1,9.32,47310.2,30.7715
12,05/23/23 03:45:00 AM,29849.8,33357.1,9.32,47310.2,30.7715
13,05/23/23 04:00:00 AM,29877.5,33341.8,9.33,47276.9,30.7472
14,05/23/23 04:15:00 AM,29849.8,33334.2,9.32,47278.0,30.7480
15,05/23/23 04:30:00 AM,29761.6,33357.1,9.32,47310.2,30.7715
16,05/23/23 04:45:00 AM,29849.8,33326.5,9.32,47267.2,30.7402
17,05/23/23 05:00:00 AM,29938.2,33303.6,9.31,47246.8,30.7253
18,05/23/23 05:15:00 AM,29966.0,33334.2,9.32,47278.0,30.7480
19,05/23/23 05:30:00 AM,29938.2,33334.2,9.32,47278.0,30.7480
20,05/23/23 05:45:00 AM,29938.2,33377.6,9.29,47374.5,30.8183
21,05/23/23 06:00:00 AM,29938.2,33385.3,9.28,47397.2,30.8348
22,05/23/23 06:15:00 AM,29938.2,33369.9,9.29,47363.7,30.8104
23,05/23/23 06:30:00 AM,29822.0,33385.3,9.29,47385.3,30.8261
24,05/23/23 06:45:00 AM,29822.0,33354.6,9.29,47342.1,30.7947
25,05/23/23 07:00:00 AM,29822.0,33382.7,9.31,47358.0,30.8063
26,05/23/23 07:15:00 AM,29910.3,33362.2,9.31,47329.2,30.7853
27,05/23/23 07:30:00 AM,29910.3,33367.4,9.33,47312.8,30.7734
28,05/23/23 07:45:00 AM,29999.0,33352.0,9.36,47255.8,30.7319
29,05/23/23 08:00:00 AM,29999.0,33382.7,9.38,47275.3,30.7461
30,05/23/23 08:15:00 AM,29882.6,33387.8,9.39,47270.6,30.7427
31,05/23/23 08:30:00 AM,29999.0,33433.9,9.44,47276.3,30.7468
32,05/23/23 08:45:00 AM,30059.9,33552.3,9.59,47265.4,30.7389
33,05/23/23 09:00:00 AM,30449.1,33886.0,10.14,47085.8,30.6083
34,05/23/23 09:15:00 AM,30511.1,33828.2,10.28,46844.3,30.4328
35,05/23/23 09:30:00 AM,30601.8,33973.0,10.28,47043.2,30.5773
36,05/23/23 09:45:00 AM,30909.8,34244.7,10.63,47010.9,30.5539
37,05/23/23 10:00:00 AM,31096.8,34452.5,10.97,46903.3,30.4756
38,05/23/23 10:15:00 AM,31096.8,34482.4,10.97,46943.6,30.5050
39,05/23/23 10:30:00 AM,31258.5,34665.4,11.21,46916.6,30.4853
40,05/23/23 10:45:00 AM,31258.5,34501.4,11.05,46878.0,30.4573
41,05/23/23 11:00:00 AM,31448.0,34764.6,11.38,46856.6,30.4418
42,05/23/23 11:15:00 AM,31515.0,34819.9,11.46,46840.0,30.4297
43,05/23/23 11:30:00 AM,31709.0,34919.8,11.62,46792.5,30.3952
44,05/23/23 11:45:00 AM,31709.0,34886.5,11.60,46770.7,30.3794
45,05/23/23 12:00:00 PM,31549.9,34836.5,11.53,46783.0,30.3883
46,05/23/23 12:15:00 PM,31549.9,34900.4,11.56,46834.3,30.4256
47,05/23/23 12:30:00 PM,31614.5,34939.3,11.65,46784.6,30.3895
48,05/23/23 12:45:00 PM,31362.4,34709.4,11.38,46782.8,30.3881
49,05/23/23 01:00:00 PM,31456.0,34723.2,11.44,46733.4,30.3523
50,05/23/23 01:15:00 PM,31523.1,34750.8,11.51,46691.3,30.3217
51,05/23/23 01:30:00 PM,31490.8,34844.8,11.62,46692.7,30.3227
52,05/23/23 01:45:00 PM,31655.0,34914.3,11.72,46672.7,30.3082
53,05/23/23 02:00:00 PM,31431.9,34723.2,11.51,46654.5,30.2950
