"Plot Title: 21742588"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21742588, SEN S/N: 21742588)","High Range, μS/cm (LGR S/N: 21742588, SEN S/N: 21742588)","Temp, °C (LGR S/N: 21742588, SEN S/N: 21742588)","Specific Conductance, μS/cm (LGR S/N: 21742588)","Salinity, ppt (LGR S/N: 21742588)"
1,05/23/23 01:00:00 AM,31201.9,33635.7,10.10,46787.0,30.3912
2,05/23/23 01:15:00 AM,31446.1,33627.7,10.09,46787.5,30.3915
3,05/23/23 01:30:00 AM,31446.1,33675.9,10.15,46784.7,30.3895
4,05/23/23 01:45:00 AM,31446.1,33686.6,10.15,46799.4,30.4002
5,05/23/23 02:00:00 AM,31502.8,33810.4,10.38,46704.9,30.3316
6,05/23/23 02:15:00 AM,31502.8,33783.5,10.35,46702.4,30.3298
7,05/23/23 02:30:00 AM,31502.8,33791.5,10.40,46656.0,30.2961
8,05/23/23 02:45:00 AM,31578.6,33845.6,10.45,46672.8,30.3083
9,05/23/23 03:00:00 AM,31578.6,33813.1,10.44,46639.8,30.2843
10,05/23/23 03:15:00 AM,31483.9,33821.2,10.44,46650.9,30.2924
11,05/23/23 03:30:00 AM,31578.6,33837.5,10.46,46650.3,30.2919
12,05/23/23 03:45:00 AM,31559.6,33869.9,10.52,46625.9,30.2743
13,05/23/23 04:00:00 AM,31559.6,33845.6,10.47,46649.9,30.2917
14,05/23/23 04:15:00 AM,31597.5,33818.5,10.44,46647.2,30.2897
15,05/23/23 04:30:00 AM,31597.5,33823.9,10.44,46654.6,30.2951
16,05/23/23 04:45:00 AM,31521.7,33818.5,10.41,46681.6,30.3146
17,05/23/23 05:00:00 AM,31597.5,33834.8,10.44,46669.5,30.3059
18,05/23/23 05:15:00 AM,31559.6,33794.2,10.45,46602.5,30.2573
19,05/23/23 05:30:00 AM,31559.6,33802.3,10.45,46613.6,30.2653
20,05/23/23 05:45:00 AM,31578.6,33818.5,10.47,46612.9,30.2648
21,05/23/23 06:00:00 AM,31483.9,33829.3,10.49,46604.8,30.2589
22,05/23/23 06:15:00 AM,31657.3,33867.2,10.52,46622.2,30.2716
23,05/23/23 06:30:00 AM,31540.6,33840.2,10.51,46596.8,30.2531
24,05/23/23 06:45:00 AM,31638.3,33840.2,10.53,46574.0,30.2366
25,05/23/23 07:00:00 AM,31540.6,33880.8,10.57,46583.7,30.2436
26,05/23/23 07:15:00 AM,31638.3,33880.8,10.57,46583.7,30.2436
27,05/23/23 07:30:00 AM,31616.5,33905.2,10.59,46594.2,30.2512
28,05/23/23 07:45:00 AM,31714.4,33926.9,10.64,46566.7,30.2313
29,05/23/23 08:00:00 AM,31616.5,33926.9,10.68,46521.2,30.1983
30,05/23/23 08:15:00 AM,31695.4,34027.6,10.85,46464.9,30.1574
31,05/23/23 08:30:00 AM,31676.3,33967.7,10.75,46497.1,30.1808
32,05/23/23 08:45:00 AM,31771.7,33981.3,10.79,46470.1,30.1612
33,05/23/23 09:00:00 AM,31771.7,34019.4,10.81,46499.1,30.1823
34,05/23/23 09:15:00 AM,31771.7,34044.0,10.87,46464.4,30.1571
35,05/23/23 09:30:00 AM,31733.5,34038.6,10.89,46434.5,30.1354
36,05/23/23 09:45:00 AM,31733.5,34038.6,10.89,46434.5,30.1354
37,05/23/23 10:00:00 AM,31733.5,34057.7,10.91,46437.7,30.1377
38,05/23/23 10:15:00 AM,31733.5,34063.2,10.92,46433.8,30.1349
39,05/23/23 10:30:00 AM,31638.3,34027.6,10.85,46464.9,30.1574
40,05/23/23 10:45:00 AM,31771.7,34128.9,11.04,46387.0,30.1010
41,05/23/23 11:00:00 AM,31867.5,34247.3,11.17,46400.0,30.1104
42,05/23/23 11:15:00 AM,31790.8,34205.9,11.12,46400.6,30.1108
43,05/23/23 11:30:00 AM,31810.0,34216.9,11.15,46381.6,30.0970
44,05/23/23 11:45:00 AM,31867.5,34216.9,11.21,46314.1,30.0481
45,05/23/23 12:00:00 PM,31752.6,34164.6,11.18,46277.6,30.0216
46,05/23/23 12:15:00 PM,31638.3,34071.4,11.03,46320.7,30.0529
47,05/23/23 12:30:00 PM,31619.2,34068.6,11.00,46350.8,30.0747
48,05/23/23 12:45:00 PM,31600.2,34065.9,11.01,46335.9,30.0639
49,05/23/23 01:00:00 PM,31657.3,34148.1,11.12,46322.8,30.0544
50,05/23/23 01:15:00 PM,31619.2,34063.2,11.04,46298.4,30.0367
51,05/23/23 01:30:00 PM,31676.3,34167.4,11.24,46214.0,29.9756
52,05/23/23 01:45:00 PM,31413.8,34030.4,11.01,46287.9,30.0291
53,05/23/23 02:00:00 PM,31413.8,33916.0,10.93,46223.5,29.9824
54,05/23/23 02:15:00 PM,31546.1,34038.6,11.01,46299.0,30.0371
55,05/23/23 02:30:00 PM,31360.0,33973.1,10.95,46278.1,30.0220
56,05/23/23 02:45:00 PM,31432.6,33984.0,10.97,46270.3,30.0164
57,05/23/23 03:00:00 PM,31341.2,33910.6,10.85,46306.4,30.0425
58,05/23/23 03:15:00 PM,31266.1,33851.0,10.71,46383.9,30.0987
59,05/23/23 03:30:00 PM,31100.6,33767.3,10.61,46383.4,30.0984
60,05/23/23 03:45:00 PM,31028.9,33651.8,10.46,46396.3,30.1077
61,05/23/23 04:00:00 PM,31175.2,33721.5,10.52,46423.3,30.1272
62,05/23/23 04:15:00 PM,31100.6,33603.6,10.39,46410.1,30.1177
63,05/23/23 04:30:00 PM,30936.3,33558.3,10.28,46473.6,30.1637
64,05/23/23 04:45:00 PM,31010.4,33542.3,10.23,46508.8,30.1893
65,05/23/23 05:00:00 PM,30936.3,33494.4,10.20,46477.3,30.1664
66,05/23/23 05:15:00 PM,31028.9,33457.2,10.10,46540.7,30.2124
67,05/23/23 05:30:00 PM,30865.0,33489.1,10.10,46584.7,30.2444
68,05/23/23 05:45:00 PM,30954.8,33457.2,10.09,46552.2,30.2208
69,05/23/23 06:00:00 PM,30791.3,33473.2,10.10,46562.8,30.2285
70,05/23/23 06:15:00 PM,30954.8,33465.2,10.09,46563.3,30.2288
71,05/23/23 06:30:00 PM,30880.8,33465.2,10.09,46563.3,30.2288
72,05/23/23 06:45:00 PM,30954.8,33441.3,10.04,46587.8,30.2466
73,05/23/23 07:00:00 PM,30791.3,33393.7,9.95,46625.6,30.2741
74,05/23/23 07:15:00 PM,30880.8,33388.4,9.95,46618.3,30.2687
75,05/23/23 07:30:00 PM,30865.0,33377.9,9.91,46649.9,30.2917
76,05/23/23 07:45:00 PM,30791.3,33348.8,9.90,46621.1,30.2708
77,05/23/23 08:00:00 PM,30880.8,33388.4,9.90,46676.0,30.3106
78,05/23/23 08:15:00 PM,30791.3,33412.2,9.92,46685.9,30.3178
79,05/23/23 08:30:00 PM,30791.3,33404.3,9.92,46674.9,30.3098
80,05/23/23 08:45:00 PM,30791.3,33404.3,9.92,46674.9,30.3098
81,05/23/23 09:00:00 PM,30791.3,33388.4,9.92,46652.9,30.2939
82,05/23/23 09:15:00 PM,30865.0,33404.3,9.92,46674.9,30.3098
83,05/23/23 09:30:00 PM,30880.8,33404.3,9.91,46686.5,30.3182
84,05/23/23 09:45:00 PM,30809.7,33404.3,9.93,46663.4,30.3015
85,05/23/23 10:00:00 PM,30880.8,33388.4,9.93,46641.4,30.2855
86,05/23/23 10:15:00 PM,30880.8,33420.2,9.93,46685.4,30.3174
87,05/23/23 10:30:00 PM,30899.3,33414.9,9.95,46655.0,30.2954
88,05/23/23 10:45:00 PM,30880.8,33433.4,9.96,46669.0,30.3056
