"Plot Title: 21742591"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21742591, SEN S/N: 21742591)","High Range, μS/cm (LGR S/N: 21742591, SEN S/N: 21742591)","Temp, °C (LGR S/N: 21742591, SEN S/N: 21742591)","Specific Conductance, μS/cm (LGR S/N: 21742591)","Salinity, ppt (LGR S/N: 21742591)"
1,05/23/23 01:00:00 AM,31699.0,34438.1,10.04,47964.7,31.2482
2,05/23/23 01:15:00 AM,31986.4,34409.7,10.07,47890.0,31.1937
3,05/23/23 01:30:00 AM,31986.4,34443.3,10.07,47936.4,31.2275
4,05/23/23 01:45:00 AM,31986.4,34443.3,10.09,47912.7,31.2103
5,05/23/23 02:00:00 AM,32189.6,34443.3,10.07,47936.4,31.2275
6,05/23/23 02:15:00 AM,31986.4,34448.5,10.07,47943.5,31.2327
7,05/23/23 02:30:00 AM,31867.8,34453.6,10.07,47950.6,31.2379
8,05/23/23 02:45:00 AM,31867.8,34412.3,10.06,47905.4,31.2049
9,05/23/23 03:00:00 AM,32070.0,34412.3,10.07,47893.6,31.1963
10,05/23/23 03:15:00 AM,32070.0,34412.3,10.07,47893.6,31.1963
11,05/23/23 03:30:00 AM,31867.8,34412.3,10.06,47905.4,31.2049
12,05/23/23 03:45:00 AM,32189.6,34412.3,10.07,47893.6,31.1963
13,05/23/23 04:00:00 AM,32070.0,34417.4,10.06,47912.4,31.2101
14,05/23/23 04:15:00 AM,32070.0,34373.6,10.04,47875.6,31.1832
15,05/23/23 04:30:00 AM,32070.0,34378.7,10.04,47882.6,31.1883
16,05/23/23 04:45:00 AM,32070.0,34340.1,10.02,47853.0,31.1667
17,05/23/23 05:00:00 AM,32070.0,34340.1,10.00,47876.6,31.1839
18,05/23/23 05:15:00 AM,31753.0,34340.1,10.00,47876.6,31.1839
19,05/23/23 05:30:00 AM,31753.0,34334.9,9.99,47881.2,31.1873
20,05/23/23 05:45:00 AM,32070.0,34329.8,9.96,47909.7,31.2081
21,05/23/23 06:00:00 AM,31753.0,34288.6,9.95,47864.5,31.1751
